id;deleted;created_date;last_modified_date;created_by;last_modified_by;last_name;first_name;dni;birth_date;address;cuil;plan_social;trabaja;apellido_tutor;nombre_tutor;estudio_primario_tutor;estudio_secundario_tutor;estudio_ter_univ_tutor;dni_tutor;cuil_tutor;telefono1;telefono2;foto_dni;constancia_cuil;constancia6grado;acta_nacimiento;constancia_regular;foto4x4;foto_carnet_vac;ficha_medica;aptitud_fisica;grupo_sanguineo;ficha_inscripcion;libreta6grado;fotocopia_libro_matriz;fotocopia_dni_tutor;constancia_cuil_tutor;localidad_entity_id;parentesco_tutor_entity_id
1;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Martínez;Florencia;51002199;2008-07-15;San Martín 1487;27-51002199-7;false;false;Romero;Carlos;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;20796421;20-20796421-3;11-4412-7295;;true;true;true;true;true;true;false;true;true;true;true;false;false;true;true;;
2;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;González;Lucía;48176875;2018-07-10;9 de Julio 4313;27-48176875-1;true;false;Benítez;Bautista;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;29304075;20-29304075-4;11-5755-5161;11-4121-7354;true;true;true;true;true;false;true;true;true;true;true;true;false;true;true;;
3;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Benítez;Facundo;46616696;2016-12-28;Sarmiento 4275;20-46616696-1;false;false;Ramírez;Delfina;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;29396462;27-29396462-4;11-4186-9124;;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;;
4;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Álvarez;Milagros;45278222;2012-09-23;Tucumán 3799;27-45278222-2;true;false;Ruiz;Patricia;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;28746806;27-28746806-2;11-4567-1366;11-4358-1227;true;true;true;false;true;true;false;true;true;false;true;true;false;true;true;;
5;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Sánchez;Mariana;45067002;2010-10-01;Lavalle 1742;27-45067002-8;false;false;Rojas;Rocío;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;20207233;27-20207233-5;11-5618-7156;11-4363-4484;true;true;true;true;true;false;true;true;true;false;true;false;true;true;true;;
6;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Castro;Jorge;49403849;2010-03-04;Urquiza 966;20-49403849-9;false;false;Sánchez;Catalina;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;27837966;27-27837966-9;11-5639-6387;;true;false;true;true;true;true;true;true;false;true;true;true;true;true;true;;
7;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Herrera;Facundo;45672206;2018-01-16;Chacabuco 1041;20-45672206-8;false;false;Ramírez;Facundo;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;34791670;20-34791670-7;11-5461-3337;11-5766-2230;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;;
8;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Flores;Pedro;45270198;2015-05-09;Moreno 3205;20-45270198-8;false;true;Vargas;Gabriela;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;26735955;27-26735955-0;11-4411-8689;;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;;
9;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Herrera;Ana;47852521;2017-05-24;Av. Corrientes 334;23-47852521-4;false;false;Rodríguez;Lucas;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;22959899;20-22959899-7;11-4954-2407;11-5655-6449;true;true;true;true;true;false;false;true;true;false;true;true;true;true;true;;
10;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Ramírez;Gustavo;46278758;2014-02-15;Urquiza 3961;20-46278758-9;false;false;Acosta;Ignacio;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;32575058;20-32575058-9;11-4976-8848;;true;true;true;true;true;false;false;true;false;true;true;true;false;false;false;;
11;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Vargas;Diego;46238223;2009-02-01;Av. Cabildo 663;20-46238223-6;false;false;Acosta;Federico;ESTUDIO_INCOMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;25090408;20-25090408-9;11-4360-7073;11-5663-1406;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;;
12;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Giménez;Gustavo;45840136;2013-01-14;Av. Rivadavia 2633;20-45840136-6;false;false;López;Ignacio;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;ESTUDIO_COMPLETO;22472791;20-22472791-8;11-5097-7028;;true;true;true;true;false;true;true;true;true;true;false;true;false;true;true;;
13;false;2026-05-22 10:00:00;2026-05-22 10:00:00;admin;admin;Medina;Daniela;45548303;2014-11-08;Piedras 4207;23-45548303-4;false;false;Gómez;Joaquín;ESTUDIO_COMPLETO;ESTUDIO_INCOMPLETO;ESTUDIO_INCOMPLETO;34620064;20-34620064-3;11-4586-7751;;true;true;true;true;true;false;true;true;true;true;true;true;false;true;true;;
